passengerid,pclass,survived,sex,age,sibsp,parch,fare,cabin,embarked
232,1,1,male,52,0,0,30.5,C104,S
233,1,0,male,47,0,0,52,C110,S
234,1,1,female,56,0,1,83.1583,C50,C
235,1,0,male,38,0,0,0,?,S
236,1,1,male,29,0,0,39.6,?,S
237,1,0,male,22,0,0,135.6333,?,C
238,1,0,male,29,0,0,227.525,?,C
239,1,1,female,43,0,1,211.3375,B3,S
240,1,0,male,31,0,0,50.4958,A24,S
241,1,1,male,45,0,0,26.55,?,S
242,1,0,male,29,0,0,50,A32,S
243,1,1,female,33,0,0,27.7208,A11,C
244,1,0,male,46,0,0,79.2,?,C
245,1,0,male,36,0,0,40.125,A10,C
246,1,1,female,33,0,0,86.5,B77,S
247,1,0,male,55,1,0,59.4,?,C
248,1,1,female,54,1,0,59.4,?,C
249,1,0,male,33,0,0,26.55,?,S
250,1,1,male,13,2,2,262.375,B57 B59 B63 B66,C
251,1,1,female,18,2,2,262.375,B57 B59 B63 B66,C
252,1,1,female,21,2,2,262.375,B57 B59 B63 B66,C
253,1,0,male,61,1,3,262.375,B57 B59 B63 B66,C
254,1,1,female,48,1,3,262.375,B57 B59 B63 B66,C
255,1,1,male,29,0,0,30.5,C106,S
256,1,1,female,24,0,0,69.3,B35,C
257,1,1,male,29,0,0,26,?,S
258,1,1,female,35,1,0,57.75,C28,C
259,1,1,female,30,0,0,31,?,C
260,1,1,male,34,0,0,26.55,?,S
261,1,1,female,40,0,0,153.4625,C125,S
262,1,1,male,35,0,0,26.2875,E24,S
263,1,0,male,50,1,0,55.9,E44,S
264,1,1,female,39,1,0,55.9,E44,S
265,1,1,male,56,0,0,35.5,A26,C
266,1,1,male,28,0,0,35.5,A6,S
267,1,0,male,56,0,0,26.55,?,S
268,1,0,male,56,0,0,30.6958,A7,C
269,1,0,male,24,1,0,60,C31,S
270,1,0,male,29,0,0,26,A19,S
271,1,1,female,18,1,0,60,C31,S
272,1,1,male,24,1,0,82.2667,B45,S
273,1,1,female,23,1,0,82.2667,B45,S
274,1,1,male,6,0,2,134.5,E34,C
275,1,1,male,45,1,1,134.5,E34,C
276,1,1,female,40,1,1,134.5,E34,C
277,1,0,male,57,1,0,146.5208,B78,C
278,1,1,female,29,1,0,146.5208,B78,C
279,1,1,male,32,0,0,30.5,B50,C
280,1,0,male,62,0,0,26.55,C87,S
281,1,1,male,54,1,0,55.4417,C116,C
282,1,1,female,43,1,0,55.4417,C116,C
283,1,1,female,52,1,0,78.2667,D20,C
284,1,0,male,29,0,0,27.7208,?,C
285,1,1,female,62,0,0,80,B28,?
286,1,0,male,67,1,0,221.7792,C55 C57,S
287,1,0,female,63,1,0,221.7792,C55 C57,S
288,1,0,male,61,0,0,32.3208,D50,S
289,1,1,female,48,0,0,25.9292,D17,S
290,1,1,female,18,0,2,79.65,E68,S
291,1,0,male,52,1,1,79.65,E67,S
292,1,1,female,39,1,1,79.65,E67,S
293,1,1,male,48,1,0,52,C126,S
294,1,1,female,29,1,0,52,C126,S
295,1,0,male,49,1,1,110.8833,C68,C
296,1,1,male,17,0,2,110.8833,C70,C
297,1,1,female,39,1,1,110.8833,C68,C
298,1,1,female,29,0,0,79.2,?,C
299,1,1,male,31,0,0,28.5375,C53,C
300,1,0,male,40,0,0,27.7208,?,C
301,1,0,male,61,0,0,33.5,B19,S
302,1,0,male,47,0,0,34.0208,D46,S
303,1,1,female,35,0,0,512.3292,?,C
304,1,0,male,64,1,0,75.25,D37,C
305,1,1,female,60,1,0,75.25,D37,C
306,1,0,male,60,0,0,26.55,?,S
307,1,0,male,54,0,1,77.2875,D26,S
308,1,0,male,21,0,1,77.2875,D26,S
309,1,1,female,55,0,0,135.6333,C32,C
310,1,1,female,31,0,2,164.8667,C7,S
311,1,0,male,57,1,1,164.8667,?,S
312,1,1,female,45,1,1,164.8667,?,S
313,1,0,male,50,1,1,211.5,C80,C
314,1,0,male,27,0,2,211.5,C82,C
315,1,1,female,50,1,1,211.5,C80,C
316,1,1,female,21,0,0,26.55,?,S
317,1,0,male,51,0,1,61.3792,?,C
318,1,1,male,21,0,1,61.3792,?,C
319,1,0,male,29,0,0,35,C128,S
320,1,1,female,31,0,0,134.5,E39 E41,C
321,1,1,male,29,0,0,35.5,C52,S
322,1,0,male,62,0,0,26.55,?,S
323,1,1,female,36,0,0,135.6333,C32,C
324,2,0,male,30,1,0,24,?,C
325,2,1,female,28,1,0,24,?,C
326,2,0,male,30,0,0,13,?,S
327,2,0,male,18,0,0,11.5,?,S
328,2,0,male,25,0,0,10.5,?,S
329,2,0,male,34,1,0,26,?,S
330,2,1,female,36,1,0,26,?,S
331,2,0,male,57,0,0,13,?,S
332,2,0,male,18,0,0,11.5,?,S
333,2,0,male,23,0,0,10.5,?,S
334,2,1,female,36,0,0,13,D,S
335,2,0,male,28,0,0,10.5,?,S
336,2,0,male,51,0,0,12.525,?,S
337,2,1,male,32,1,0,26,?,S
338,2,1,female,19,1,0,26,?,S
339,2,0,male,28,0,0,26,?,S
340,2,1,male,1,2,1,39,F4,S
341,2,1,female,4,2,1,39,F4,S
342,2,1,female,12,2,1,39,F4,S
343,2,1,female,36,0,3,39,F4,S
344,2,1,male,34,0,0,13,D56,S
345,2,1,female,19,0,0,13,?,S
346,2,0,male,23,0,0,13,?,S
347,2,0,male,26,0,0,13,?,S
348,2,0,male,42,0,0,13,?,S
349,2,0,male,27,0,0,13,?,S
350,2,1,female,24,0,0,13,F33,S
351,2,1,female,15,0,2,39,?,S
352,2,0,male,60,1,1,39,?,S
353,2,1,female,40,1,1,39,?,S
354,2,1,female,20,1,0,26,?,S
355,2,0,male,25,1,0,26,?,S
356,2,1,female,36,0,0,13,?,S
357,2,0,male,25,0,0,13,?,S
358,2,0,male,42,0,0,13,?,S
359,2,1,female,42,0,0,13,?,S
360,2,1,male,0,0,2,29,?,S
361,2,1,male,26,1,1,29,?,S
362,2,1,female,22,1,1,29,?,S
363,2,1,female,35,0,0,21,?,S
364,2,0,male,29,0,0,0,?,S
365,2,0,male,19,0,0,13,?,S
366,2,0,female,44,1,0,26,?,S
367,2,0,male,54,1,0,26,?,S
368,2,0,male,52,0,0,13.5,?,S
369,2,0,male,37,1,0,26,?,S
370,2,0,female,29,1,0,26,?,S
371,2,1,female,25,1,1,30,?,S
372,2,1,female,45,0,2,30,?,S
373,2,0,male,29,1,0,26,?,S
374,2,1,female,28,1,0,26,?,S
375,2,0,male,29,0,0,10.5,?,S
376,2,0,male,28,0,0,13,?,S
377,2,1,male,24,0,0,10.5,?,S
378,2,1,female,8,0,2,26.25,?,S
379,2,0,male,31,1,1,26.25,?,S
380,2,1,female,31,1,1,26.25,?,S
381,2,1,female,22,0,0,10.5,F33,S
382,2,0,female,30,0,0,13,?,S
383,2,0,female,29,0,0,21,?,S
384,2,0,male,21,0,0,11.5,?,S
385,2,0,male,29,0,0,0,?,S
386,2,1,male,8,1,1,36.75,?,S
387,2,0,male,18,0,0,73.5,?,S
388,2,1,female,48,0,2,36.75,?,S
389,2,1,female,28,0,0,13,?,S
390,2,0,male,32,0,0,13,?,S
391,2,0,male,17,0,0,73.5,?,S
392,2,0,male,29,1,0,27.7208,?,C
393,2,1,female,24,1,0,27.7208,?,C
394,2,0,male,25,0,0,31.5,?,S
395,2,0,male,18,0,0,73.5,?,S
396,2,1,female,18,0,1,23,?,S
397,2,1,female,34,0,1,23,?,S
398,2,0,male,54,0,0,26,?,S
399,2,1,male,8,0,2,32.5,?,S
400,2,0,male,42,1,1,32.5,?,S
401,2,1,female,34,1,1,32.5,?,S
402,2,1,female,27,1,0,13.8583,?,C
403,2,1,female,30,1,0,13.8583,?,C
404,2,0,male,23,0,0,13,?,S
405,2,0,male,21,0,0,13,?,S
406,2,0,male,18,0,0,13,?,S
407,2,0,male,40,1,0,26,?,S
408,2,1,female,29,1,0,26,?,S
409,2,0,male,18,0,0,10.5,?,S
410,2,0,male,36,0,0,13,?,S
411,2,0,male,29,0,0,0,?,S
412,2,0,female,38,0,0,13,?,S
413,2,0,male,35,0,0,26,?,S
414,2,0,male,38,1,0,21,?,S
415,2,0,male,34,1,0,21,?,S
416,2,1,female,34,0,0,13,?,S
417,2,0,male,16,0,0,26,?,S
418,2,0,male,26,0,0,10.5,?,S
419,2,0,male,47,0,0,10.5,?,S
420,2,0,male,21,1,0,11.5,?,S
421,2,0,male,21,1,0,11.5,?,S
422,2,0,male,24,0,0,13.5,?,S
423,2,0,male,24,0,0,13,?,S
424,2,0,male,34,0,0,13,?,S
425,2,0,male,30,0,0,13,?,S
426,2,0,male,52,0,0,13,?,S
427,2,0,male,30,0,0,13,?,S
428,2,1,male,0,1,1,14.5,?,S
429,2,1,female,24,0,2,14.5,?,S
430,2,0,male,44,0,0,13,?,S
431,2,1,female,6,0,1,33,?,S
432,2,0,male,28,0,1,33,?,S
433,2,1,male,62,0,0,10.5,?,S
434,2,0,male,30,0,0,10.5,?,S
435,2,1,female,7,0,2,26.25,?,S
436,2,0,male,43,1,1,26.25,?,S
437,2,1,female,45,1,1,26.25,?,S
438,2,1,female,24,1,2,65,?,S
439,2,1,female,24,1,2,65,?,S
440,2,0,male,49,1,2,65,?,S
441,2,1,female,48,1,2,65,?,S
442,2,1,female,55,0,0,16,?,S
443,2,0,male,24,2,0,73.5,?,S
444,2,0,male,32,2,0,73.5,?,S
445,2,0,male,21,2,0,73.5,?,S
446,2,0,female,18,1,1,13,?,S
447,2,1,female,20,2,1,23,?,S
448,2,0,male,23,2,1,11.5,?,S
449,2,0,male,36,0,0,13,?,S
450,2,1,female,54,1,3,23,?,S
451,2,0,male,50,0,0,13,?,S
452,2,0,male,44,1,0,26,?,S
453,2,1,female,29,1,0,26,?,S
454,2,0,male,21,0,0,73.5,?,S
455,2,1,male,42,0,0,13,?,S
456,2,0,male,63,1,0,26,?,S
457,2,0,female,60,1,0,26,?,S
458,2,0,male,33,0,0,12.275,?,S
459,2,1,female,17,0,0,10.5,?,S
460,2,0,male,42,1,0,27,?,S
461,2,1,female,24,2,1,27,?,S
462,2,0,male,47,0,0,15,?,S
463,2,0,male,24,2,0,31.5,?,S
464,2,0,male,22,2,0,31.5,?,S
465,2,0,male,32,0,0,10.5,?,S
466,2,1,female,23,0,0,13.7917,D,C
467,2,0,male,34,1,0,26,?,S
468,2,1,female,24,1,0,26,?,S
469,2,0,female,22,0,0,21,?,S
470,2,1,female,29,0,0,12.35,E101,Q
471,2,0,male,35,0,0,12.35,?,Q
472,2,1,female,45,0,0,13.5,?,S
473,2,0,male,57,0,0,12.35,?,Q
474,2,0,male,29,0,0,0,?,S
475,2,0,male,31,0,0,10.5,?,S
476,2,0,female,26,1,1,26,?,S
477,2,0,male,30,1,1,26,?,S
478,2,0,male,29,0,0,10.7083,?,Q
479,2,1,female,1,1,2,41.5792,?,C
480,2,1,female,3,1,2,41.5792,?,C
481,2,0,male,25,1,2,41.5792,?,C
482,2,1,female,22,1,2,41.5792,?,C
483,2,1,female,17,0,0,12,?,C
484,2,1,female,29,0,0,33,?,S
485,2,1,female,34,0,0,10.5,F33,S
486,2,0,male,36,0,0,12.875,D,C
487,2,0,male,24,0,0,10.5,?,S
488,2,0,male,61,0,0,12.35,?,Q
489,2,0,male,50,1,0,26,?,S
490,2,1,female,42,1,0,26,?,S
491,2,0,female,57,0,0,10.5,E77,S
492,2,0,male,29,0,0,15.0458,D,C
493,2,1,male,1,0,2,37.0042,?,C
494,2,0,male,31,1,1,37.0042,?,C
495,2,1,female,24,1,1,37.0042,?,C
496,2,0,male,29,0,0,15.5792,?,C
497,2,0,male,30,0,0,13,?,S
498,2,0,male,40,0,0,16,?,S
499,2,0,male,32,0,0,13.5,?,S
500,2,0,male,30,0,0,13,?,S
501,2,0,male,46,0,0,26,?,S
502,2,1,female,13,0,1,19.5,?,S
503,2,1,female,41,0,1,19.5,?,S
504,2,1,male,19,0,0,10.5,?,S
505,2,0,male,39,0,0,13,?,S
506,2,0,male,48,0,0,13,?,S
507,2,0,male,70,0,0,10.5,?,S
508,2,0,male,27,0,0,13,?,S
509,2,0,male,54,0,0,14,?,S
510,2,0,male,39,0,0,26,?,S
511,2,0,male,16,0,0,10.5,?,S
512,2,0,male,62,0,0,9.6875,?,Q
513,2,0,male,32,1,0,30.0708,?,C
514,2,1,female,14,1,0,30.0708,?,C
515,2,1,male,2,1,1,26,F2,S
516,2,1,male,3,1,1,26,F2,S
517,2,0,male,36,0,2,26,F2,S
518,2,0,male,26,0,0,13,F2,S
519,2,0,male,19,1,1,36.75,?,S
520,2,0,male,28,0,0,13.5,?,S
521,2,1,male,20,0,0,13.8625,D38,C
522,2,1,female,29,0,0,10.5,F33,S
523,2,0,male,39,0,0,13,?,S
524,2,1,male,22,0,0,10.5,?,S
525,2,1,male,29,0,0,13.8625,?,C
526,2,0,male,23,0,0,10.5,?,S
527,2,1,male,29,0,0,13.8583,?,C
528,2,0,male,28,0,0,10.5,?,S
529,2,0,male,29,0,0,0,?,S
530,2,1,female,50,0,1,26,?,S
531,2,0,male,19,0,0,10.5,?,S
532,2,0,male,29,0,0,15.05,?,C
533,2,0,male,41,0,0,13,?,S
534,2,1,female,21,0,1,21,?,S
535,2,1,female,19,0,0,26,?,S
536,2,0,male,43,0,1,21,?,S
537,2,1,female,32,0,0,13,?,S
538,2,0,male,34,0,0,13,?,S
539,2,1,male,30,0,0,12.7375,?,C
540,2,0,male,27,0,0,15.0333,?,C
541,2,1,female,2,1,1,26,?,S
542,2,1,female,8,1,1,26,?,S
543,2,1,female,33,0,2,26,?,S
544,2,0,male,36,0,0,10.5,?,S
545,2,0,male,34,1,0,21,?,S
546,2,1,female,30,3,0,21,?,S
547,2,1,female,28,0,0,13,?,S
548,2,0,male,23,0,0,15.0458,?,C
549,2,1,male,0,1,1,18.75,?,S
550,2,1,male,3,1,1,18.75,?,S
551,2,1,female,24,2,3,18.75,?,S
552,2,1,female,50,0,0,10.5,?,S
553,2,0,male,19,0,0,10.5,?,S
554,2,1,female,21,0,0,10.5,?,S
555,2,0,male,26,0,0,13,?,S
556,2,0,male,25,0,0,13,?,S
557,2,0,male,27,0,0,26,?,S
558,2,1,female,25,0,1,26,?,S
559,2,1,female,18,0,2,13,?,S
560,2,1,female,20,0,0,36.75,?,S
561,2,1,female,30,0,0,13,?,S
562,2,0,male,59,0,0,13.5,?,S
563,2,1,female,30,0,0,12.35,?,Q
564,2,0,male,35,0,0,10.5,?,S
565,2,1,female,40,0,0,13,?,S
566,2,0,male,25,0,0,13,?,S
567,2,0,male,41,0,0,15.0458,?,C
568,2,0,male,25,0,0,10.5,?,S
569,2,0,male,18,0,0,13,F,S
570,2,0,male,14,0,0,65,?,S
571,2,1,female,50,0,0,10.5,?,S
572,2,0,male,23,0,0,13,?,S
573,2,1,female,28,0,0,12.65,?,S
574,2,1,female,27,0,0,10.5,E101,S
575,2,0,male,29,1,0,21,?,S
576,2,0,female,27,1,0,21,?,S
577,2,0,male,40,0,0,13,?,S
578,2,1,female,31,0,0,21,?,S
579,2,0,male,30,1,0,21,?,S
580,2,0,male,23,1,0,10.5,?,S
581,2,1,female,31,0,0,21,?,S
582,2,0,male,29,0,0,0,?,S
583,2,1,female,12,0,0,15.75,?,S
584,2,1,female,40,0,0,15.75,?,S
585,2,1,female,32,0,0,13,E101,S
586,2,0,male,27,1,0,26,?,S
587,2,1,female,29,1,0,26,?,S
588,2,1,male,2,1,1,23,?,S
589,2,1,female,4,1,1,23,?,S
590,2,1,female,29,0,2,23,?,S
591,2,1,female,0,1,2,27.75,?,S
592,2,1,female,5,1,2,27.75,?,S
593,2,0,male,36,1,2,27.75,?,S
594,2,1,female,33,1,2,27.75,?,S
595,2,0,male,66,0,0,10.5,?,S
596,2,0,male,29,0,0,12.875,?,S
597,2,1,male,31,0,0,13,?,S
598,2,1,male,29,0,0,13,?,S
599,2,1,female,26,0,0,13.5,?,S
600,2,0,female,24,0,0,13,?,S
601,3,0,male,42,0,0,7.55,?,S
602,3,0,male,13,0,2,20.25,?,S
603,3,0,male,16,1,1,20.25,?,S
604,3,1,female,35,1,1,20.25,?,S
605,3,1,female,16,0,0,7.65,?,S
606,3,1,male,25,0,0,7.65,F G63,S
607,3,1,male,20,0,0,7.925,?,S
608,3,1,female,18,0,0,7.2292,?,C
609,3,0,male,30,0,0,7.25,?,S
610,3,0,male,26,0,0,8.05,?,S
611,3,0,female,40,1,0,9.475,?,S
612,3,1,male,0,0,1,9.35,?,S
613,3,1,female,18,0,1,9.35,?,S
614,3,1,male,26,0,0,18.7875,?,C
615,3,0,male,26,0,0,7.8875,?,S
616,3,0,male,20,0,0,7.925,?,S
617,3,0,male,24,0,0,7.05,?,S
618,3,0,male,25,0,0,7.05,?,S
619,3,0,male,35,0,0,8.05,?,S
620,3,0,male,18,0,0,8.3,?,S
621,3,0,male,32,0,0,22.525,?,S
622,3,1,female,19,1,0,7.8542,?,S
623,3,0,male,4,4,2,31.275,?,S
624,3,0,female,6,4,2,31.275,?,S
625,3,0,female,2,4,2,31.275,?,S
